id,species,category,scientific_name,lifespan,region,class,status,fun_fact,pop_color,prompt
A001,Aye-Aye,Mammals,Daubentonia madagascariensis,Lives 20-23 yrs,Madagascar,Mammal,Endangered,Aye-ayes use their long middle finger to tap on trees and find grubs hiding inside!,Bright yellow-orange,"Create a Aye-Aye zoo trading card.

SUBJECT: Aye-Aye (Daubentonia madagascariensis)
CARD ID: A001
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The Aye-Aye fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Dense Madagascar rainforest canopy at night habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Paw print stamp (no circle). Scientific name in italic serif. Stats line: Lives 20-23 yrs | Madagascar | Mammal | Endangered. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Bright yellow-orange running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A001"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Dark tropical mahogany
- Frame color: Bright yellow-orange
- Fun fact text: ""Aye-ayes use their long middle finger to tap on trees and find grubs hiding inside!""
- Stats line: Lives 20-23 yrs | Madagascar | Mammal | Endangered
- Scientific name: Daubentonia madagascariensis"
A002,Black-and-White Colobus,Mammals,Colobus guereza,Lives 20-30 yrs,Central and East Africa,Mammal,Least Concern,"They have no thumbs, which helps them swing effortlessly through the trees!",Striking White,"Create a Black-and-White Colobus zoo trading card.

SUBJECT: Black-and-White Colobus (Colobus guereza)
CARD ID: A002
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The Black-and-White Colobus fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Dense rainforest canopy habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Paw print stamp (no circle). Scientific name in italic serif. Stats line: Lives 20-30 yrs | Central and East Africa | Mammal | Least Concern. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Striking White running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A002"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Mahogany Wood
- Frame color: Striking White
- Fun fact text: ""They have no thumbs, which helps them swing effortlessly through the trees!""
- Stats line: Lives 20-30 yrs | Central and East Africa | Mammal | Least Concern
- Scientific name: Colobus guereza"
A003,Black Howler Monkey,Mammals,RESEARCH REQUIRED,RESEARCH REQUIRED,RESEARCH REQUIRED,Mammal,RESEARCH REQUIRED,"RESEARCH REQUIRED: add one accurate, child-friendly fact about Black Howler Monkey.",Warm gold,"Create a Black Howler Monkey zoo trading card.

SUBJECT: Black Howler Monkey (RESEARCH REQUIRED)
CARD ID: A003
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The Black Howler Monkey fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Natural habitat habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Leaf stamp (no circle). Scientific name in italic serif. Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Warm gold running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A003"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Weathered wood
- Frame color: Warm gold
- Fun fact text: ""RESEARCH REQUIRED: add one accurate, child-friendly fact about Black Howler Monkey.""
- Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED
- Scientific name: RESEARCH REQUIRED"
A004,Buff Cheeked Gibbon,Mammals,RESEARCH REQUIRED,RESEARCH REQUIRED,RESEARCH REQUIRED,Mammal,RESEARCH REQUIRED,"RESEARCH REQUIRED: add one accurate, child-friendly fact about Buff Cheeked Gibbon.",Warm gold,"Create a Buff Cheeked Gibbon zoo trading card.

SUBJECT: Buff Cheeked Gibbon (RESEARCH REQUIRED)
CARD ID: A004
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The Buff Cheeked Gibbon fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Natural habitat habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Leaf stamp (no circle). Scientific name in italic serif. Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Warm gold running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A004"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Weathered wood
- Frame color: Warm gold
- Fun fact text: ""RESEARCH REQUIRED: add one accurate, child-friendly fact about Buff Cheeked Gibbon.""
- Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED
- Scientific name: RESEARCH REQUIRED"
A005,Coquerel's Sifaka,Mammals,RESEARCH REQUIRED,RESEARCH REQUIRED,RESEARCH REQUIRED,Mammal,RESEARCH REQUIRED,"RESEARCH REQUIRED: add one accurate, child-friendly fact about Coquerel's Sifaka.",Warm gold,"Create a Coquerel's Sifaka zoo trading card.

SUBJECT: Coquerel's Sifaka (RESEARCH REQUIRED)
CARD ID: A005
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The Coquerel's Sifaka fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Natural habitat habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Leaf stamp (no circle). Scientific name in italic serif. Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Warm gold running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A005"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Weathered wood
- Frame color: Warm gold
- Fun fact text: ""RESEARCH REQUIRED: add one accurate, child-friendly fact about Coquerel's Sifaka.""
- Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED
- Scientific name: RESEARCH REQUIRED"
A006,Northern White Cheeked Gibbon,Mammals,RESEARCH REQUIRED,RESEARCH REQUIRED,RESEARCH REQUIRED,Mammal,RESEARCH REQUIRED,"RESEARCH REQUIRED: add one accurate, child-friendly fact about Northern White Cheeked Gibbon.",Warm gold,"Create a Northern White Cheeked Gibbon zoo trading card.

SUBJECT: Northern White Cheeked Gibbon (RESEARCH REQUIRED)
CARD ID: A006
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The Northern White Cheeked Gibbon fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Natural habitat habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Leaf stamp (no circle). Scientific name in italic serif. Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Warm gold running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A006"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Weathered wood
- Frame color: Warm gold
- Fun fact text: ""RESEARCH REQUIRED: add one accurate, child-friendly fact about Northern White Cheeked Gibbon.""
- Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED
- Scientific name: RESEARCH REQUIRED"
A007,Pygmy Slow Loris,Mammals,RESEARCH REQUIRED,RESEARCH REQUIRED,RESEARCH REQUIRED,Mammal,RESEARCH REQUIRED,"RESEARCH REQUIRED: add one accurate, child-friendly fact about Pygmy Slow Loris.",Warm gold,"Create a Pygmy Slow Loris zoo trading card.

SUBJECT: Pygmy Slow Loris (RESEARCH REQUIRED)
CARD ID: A007
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The Pygmy Slow Loris fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Natural habitat habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Leaf stamp (no circle). Scientific name in italic serif. Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Warm gold running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A007"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Weathered wood
- Frame color: Warm gold
- Fun fact text: ""RESEARCH REQUIRED: add one accurate, child-friendly fact about Pygmy Slow Loris.""
- Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED
- Scientific name: RESEARCH REQUIRED"
A008,Siamang,Mammals,RESEARCH REQUIRED,RESEARCH REQUIRED,RESEARCH REQUIRED,Mammal,RESEARCH REQUIRED,"RESEARCH REQUIRED: add one accurate, child-friendly fact about Siamang.",Warm gold,"Create a Siamang zoo trading card.

SUBJECT: Siamang (RESEARCH REQUIRED)
CARD ID: A008
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The Siamang fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Natural habitat habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Leaf stamp (no circle). Scientific name in italic serif. Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Warm gold running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A008"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Weathered wood
- Frame color: Warm gold
- Fun fact text: ""RESEARCH REQUIRED: add one accurate, child-friendly fact about Siamang.""
- Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED
- Scientific name: RESEARCH REQUIRED"
A009,White Faced Saki,Mammals,RESEARCH REQUIRED,RESEARCH REQUIRED,RESEARCH REQUIRED,Mammal,RESEARCH REQUIRED,"RESEARCH REQUIRED: add one accurate, child-friendly fact about White Faced Saki.",Warm gold,"Create a White Faced Saki zoo trading card.

SUBJECT: White Faced Saki (RESEARCH REQUIRED)
CARD ID: A009
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The White Faced Saki fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Natural habitat habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Leaf stamp (no circle). Scientific name in italic serif. Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Warm gold running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A009"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Weathered wood
- Frame color: Warm gold
- Fun fact text: ""RESEARCH REQUIRED: add one accurate, child-friendly fact about White Faced Saki.""
- Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED
- Scientific name: RESEARCH REQUIRED"
A010,White Handed Gibbon,Mammals,RESEARCH REQUIRED,RESEARCH REQUIRED,RESEARCH REQUIRED,Mammal,RESEARCH REQUIRED,"RESEARCH REQUIRED: add one accurate, child-friendly fact about White Handed Gibbon.",Warm gold,"Create a White Handed Gibbon zoo trading card.

SUBJECT: White Handed Gibbon (RESEARCH REQUIRED)
CARD ID: A010
CATEGORY: Mammals

Trading card format, 2.5x3.5 inches, portrait orientation.
CARD STRUCTURE (top to bottom):
1. TITLE PLANK: Weathered natural material (wood/bark/stone/bone) matching the animal's habitat. Bold serif capitals engraved into the material. Category symbol engraved on the RIGHT side of the name — no circle, no badge. Plank hangs or rests naturally at the top, with optional twine or vine.
2. MAIN IMAGE ZONE: The White Handed Gibbon fills 55-65% of the card, sharp and dominant, looking toward camera. Photorealistic, ultra-detailed fur/scales/feathers. Background is the natural Natural habitat habitat, heavily blurred golden-hour bokeh. Real habitat elements (grasses, rocks, seed pods, branches) overlap the frame organically.
3. PARCHMENT TEXT BOX: Aged torn-edge parchment at the bottom. LEFT side: hand-sketched Leaf stamp (no circle). Scientific name in italic serif. Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED. Small diamond divider. Fun fact in bold + regular serif. Text box material matches title plank family.
4. FRAME: Thin multi-tone metallic frame in Warm gold running all four sides, with optional small delicate metallic botanical flourishes at corners or sides. Frame sits behind natural elements. NO thick lines, NO circles, NO holographic effects, NO white speckles.
5. FOOTER: Only the card number ""A010"" centered at the very bottom in the frame's metallic color. Small delicate leaf sprig accent on each side. Same font as the frame. No other text.
STYLE: Painterly naturalistic illustration with photorealistic animal rendering. Warm cinematic lighting. Museum quality. No humans, no cartoon elements, no scary expressions.

CARD-SPECIFIC DATA:
- Title plank material: Weathered wood
- Frame color: Warm gold
- Fun fact text: ""RESEARCH REQUIRED: add one accurate, child-friendly fact about White Handed Gibbon.""
- Stats line: RESEARCH REQUIRED | RESEARCH REQUIRED | Mammal | RESEARCH REQUIRED
- Scientific name: RESEARCH REQUIRED"
